Количество	Имя	Положение X	Положение Y	Положение Z
1	Точка	555553.000	5031321.000	14.300
1	Точка	555459.000	5031293.000	14.300
1	Точка	555742.000	5031321.000	14.400
1	Точка	555577.000	5031327.000	14.400
1	Точка	555746.000	5031318.000	14.300
1	Точка	555644.000	5031339.000	14.300
1	Точка	555546.000	5031319.000	14.300
1	Точка	555570.000	5031325.000	14.300
1	Точка	555744.000	5031325.000	14.200
1	Точка	555733.000	5031329.000	14.200
1	Точка	555738.000	5031326.000	14.200
1	Точка	555750.000	5031319.000	14.200
1	Точка	555573.000	5031328.000	14.200
1	Точка	555493.000	5031308.000	14.200
1	Точка	555580.000	5031330.000	14.200
1	Точка	555616.000	5031336.000	14.300
1	Точка	555747.000	5031322.000	14.300
1	Точка	555750.000	5031313.000	14.300
1	Точка	555679.000	5031342.000	14.300
1	Точка	555763.000	5031288.000	14.300
1	Точка	555506.000	5031309.000	14.300
1	Точка	555488.000	5031307.000	14.300
1	Точка	555675.000	5031342.000	14.100
1	Точка	555767.000	5031312.000	14.100
1	Точка	555769.000	5031320.000	14.100
1	Точка	555763.000	5031314.000	14.100
1	Точка	555509.000	5031312.000	14.000
1	Точка	555765.000	5031318.000	14.000
1	Точка	555777.000	5031316.000	14.000
1	Точка	555783.000	5031338.000	14.000
1	Точка	555780.000	5031325.000	14.100
1	Точка	555784.000	5031328.000	14.100
1	Точка	555788.000	5031334.000	14.100
1	Точка	555759.000	5031315.000	14.100
1	Точка	555791.000	5031324.000	14.100
1	Точка	555767.000	5031324.000	14.100
1	Точка	555783.000	5031321.000	14.100
1	Точка	555763.000	5031322.000	14.000
1	Точка	555788.000	5031338.000	14.000
1	Точка	555764.000	5031327.000	14.000
1	Точка	555776.000	5031320.000	14.000
1	Точка	555769.000	5031293.000	14.000
1	Точка	555773.000	5031324.000	14.000
1	Точка	555525.000	5031317.000	14.000
1	Точка	555608.000	5031337.000	14.000
1	Точка	555795.000	5031323.000	14.000
1	Точка	555497.000	5031310.000	14.000
1	Точка	555774.000	5031334.000	14.000
1	Точка	555770.000	5031316.000	14.000
1	Точка	555721.000	5031334.000	14.000
1	Точка	555752.000	5031329.000	14.000
1	Точка	555760.000	5031307.000	14.100
1	Точка	555755.000	5031322.000	14.100
1	Точка	555764.000	5031292.000	14.100
1	Точка	555653.000	5031342.000	14.100
1	Точка	555599.000	5031335.000	14.100
1	Точка	555780.000	5031329.000	14.100
1	Точка	555707.000	5031338.000	14.100
1	Точка	555788.000	5031319.000	14.100
1	Точка	555758.000	5031311.000	14.100
1	Точка	555758.000	5031319.000	14.100
1	Точка	555755.000	5031326.000	14.100
1	Точка	555784.000	5031334.000	14.100
1	Точка	555787.000	5031325.000	14.100
1	Точка	555717.000	5031334.000	14.100
1	Точка	555748.000	5031327.000	14.100
1	Точка	555767.000	5031330.000	14.100
1	Точка	555737.000	5031330.000	14.100
1	Точка	555791.000	5031329.000	14.100
1	Точка	555456.000	5031304.000	14.100
1	Точка	555789.000	5031315.000	14.100
1	Точка	555785.000	5031314.000	14.100
1	Точка	555668.000	5031342.000	14.100
1	Точка	555776.000	5031328.000	14.100
1	Точка	555771.000	5031288.000	14.100
1	Точка	555756.000	5031306.000	14.100
1	Точка	555759.000	5031303.000	14.100
1	Точка	555538.000	5031320.000	14.100
1	Точка	555780.000	5031333.000	14.100
1	Точка	555792.000	5031320.000	14.100
1	Точка	555715.000	5031341.000	13.300
1	Точка	555822.000	5031314.000	13.300
1	Точка	555895.000	5031320.000	13.300
1	Точка	555820.000	5031336.000	13.300
1	Точка	555734.000	5031338.000	13.300
1	Точка	555518.000	5031322.000	13.300
1	Точка	555819.000	5031332.000	13.300
1	Точка	555542.000	5031325.000	13.300
1	Точка	555506.000	5031319.000	13.300
1	Точка	555898.000	5031314.000	13.300
1	Точка	555678.000	5031350.000	13.300
1	Точка	555902.000	5031346.000	13.300
1	Точка	555915.000	5031337.000	13.300
1	Точка	555498.000	5031318.000	13.300
1	Точка	555828.000	5031317.000	13.300
1	Точка	555884.000	5031335.000	13.300
1	Точка	555908.000	5031316.000	13.300
1	Точка	555918.000	5031322.000	13.300
1	Точка	555879.000	5031343.000	13.300
1	Точка	555826.000	5031326.000	13.300
1	Точка	555671.000	5031350.000	13.300
1	Точка	555653.000	5031346.000	13.300
1	Точка	555813.000	5031310.000	13.300
1	Точка	555818.000	5031340.000	13.300
1	Точка	555914.000	5031345.000	13.300
1	Точка	555891.000	5031321.000	13.300
1	Точка	555551.000	5031328.000	13.300
1	Точка	555885.000	5031340.000	13.300
1	Точка	555879.000	5031322.000	13.300
1	Точка	555899.000	5031323.000	13.300
1	Точка	555906.000	5031347.000	13.300
1	Точка	555872.000	5031334.000	13.300
1	Точка	555930.000	5031330.000	13.300
1	Точка	555892.000	5031336.000	13.300
1	Точка	555883.000	5031329.000	13.300
1	Точка	555812.000	5031304.000	13.300
1	Точка	555901.000	5031341.000	13.300
1	Точка	555848.000	5031329.000	13.300
1	Точка	555904.000	5031334.000	13.300
1	Точка	555910.000	5031321.000	13.300
1	Точка	555897.000	5031308.000	13.300
1	Точка	555870.000	5031330.000	13.300
1	Точка	555911.000	5031340.000	13.300
1	Точка	555556.000	5031330.000	13.300
1	Точка	555918.000	5031334.000	13.300
1	Точка	555920.000	5031338.000	13.300
1	Точка	555863.000	5031326.000	13.300
1	Точка	555904.000	5031312.000	13.300
1	Точка	555888.000	5031335.000	13.300
1	Точка	555897.000	5031340.000	13.300
1	Точка	555919.000	5031329.000	13.300
1	Точка	555909.000	5031311.000	13.300
1	Точка	555830.000	5031312.000	13.300
1	Точка	555828.000	5031321.000	13.300
1	Точка	555834.000	5031308.000	13.300
1	Точка	555562.000	5031332.000	13.300
1	Точка	555913.000	5031328.000	13.300
1	Точка	555904.000	5031326.000	13.300
1	Точка	555877.000	5031326.000	13.300
1	Точка	555875.000	5031340.000	13.300
1	Точка	555859.000	5031325.000	13.300
1	Точка	555841.000	5031316.000	13.300
1	Точка	555832.000	5031334.000	13.300
1	Точка	555918.000	5031310.000	13.300
1	Точка	555893.000	5031342.000	13.300
1	Точка	555573.000	5031336.000	13.300
1	Точка	555868.000	5031334.000	13.300
1	Точка	555821.000	5031343.000	13.300
1	Точка	555830.000	5031330.000	13.300
1	Точка	555930.000	5031340.000	13.300
1	Точка	555538.000	5031324.000	13.300
1	Точка	555841.000	5031311.000	13.300
1	Точка	555889.000	5031343.000	13.300
1	Точка	555914.000	5031314.000	13.300
1	Точка	555851.000	5031332.000	13.300
1	Точка	555875.000	5031321.000	13.300
1	Точка	555863.000	5031336.000	13.300
1	Точка	555887.000	5031325.000	13.300
1	Точка	555640.000	5031345.000	13.300
1	Точка	555921.000	5031342.000	13.300
1	Точка	555691.000	5031346.000	13.300
1	Точка	555491.000	5031320.000	13.300
1	Точка	555844.000	5031330.000	13.300
1	Точка	555925.000	5031342.000	13.300
1	Точка	555878.000	5031347.000	13.300
1	Точка	555890.000	5031317.000	13.300
1	Точка	555877.000	5031332.000	13.300
1	Точка	555901.000	5031307.000	13.300
1	Точка	555916.000	5031341.000	13.300
1	Точка	555820.000	5031310.000	13.300
1	Точка	555911.000	5031348.000	13.300
1	Точка	555937.000	5031332.000	13.300
1	Точка	555929.000	5031334.000	13.300
1	Точка	555918.000	5031345.000	13.300
1	Точка	555616.000	5031344.000	13.300
1	Точка	555889.000	5031339.000	13.300
1	Точка	555922.000	5031325.000	13.300
1	Точка	555910.000	5031332.000	13.300
1	Точка	555902.000	5031320.000	13.300
1	Точка	555834.000	5031312.000	13.300
1	Точка	555886.000	5031317.000	13.300
